case_id,n_tumor_components,laterality,left_frac,bbox_extent_x,bbox_extent_y,bbox_extent_z,bbox_voxels,t1ce_brain_mean,t1ce_brain_std,t1ce_brain_p1,t1ce_brain_p99
BraTS2021_00000,2,left,0.0016577960038391066,136,171,146,3395376,2084.0016383253273,837.8845151560639,673.0,5574.0
BraTS2021_00002,1,left,0.09343421094053328,133,174,135,3124170,1903.1364942817663,758.5186911709718,525.0,4863.0
BraTS2021_00003,1,left,0.1350275597295418,141,178,140,3513720,2037.6494800803082,731.9965255360949,672.0,5004.0
BraTS2021_00005,1,left,0.003293717894264443,134,161,136,2934064,1991.9479986643335,886.6847284824265,651.0,6072.0
BraTS2021_00006,1,bilateral/midline,0.30500830245593175,134,177,136,3225648,2148.6215550144775,954.104240774764,622.9899999999998,6483.0
BraTS2021_00008,2,right,1.0,142,168,133,3172848,2926.5843156313695,1150.33861476482,527.0,6666.0
BraTS2021_00009,2,left,0.06727862164426475,135,167,132,2975940,1360.606335233941,404.8560106081654,419.0,2739.0
BraTS2021_00011,3,right,1.0,141,166,142,3323652,1900.4885197631845,568.4722203769013,722.0,3431.0
BraTS2021_00012,1,bilateral/midline,0.18616878120155111,143,178,141,3589014,1650.9560032022637,677.660935840281,305.0,4111.550000000047
BraTS2021_00014,1,left,0.0,136,178,126,3050208,2485.062443089963,803.6085255994568,659.0,4602.0
BraTS2021_00016,1,left,0.0,135,172,138,3204360,2209.327819297715,734.1875199993142,511.0,4665.0
BraTS2021_00017,1,left,0.0,147,174,138,3529764,2102.7901802271876,798.2422206962068,545.0,5264.0
BraTS2021_00018,2,left,0.0012609002328295975,136,177,138,3321936,2095.441534607101,733.2255410007389,668.0,4844.0
BraTS2021_00019,1,left,0.011161073309230263,142,177,143,3594162,2257.3862247603583,836.2113314903238,849.0,5922.0
BraTS2021_00020,3,right,0.9981141836751724,137,182,137,3415958,2612.5942243313975,906.862434740917,917.0,6113.0
BraTS2021_00021,2,bilateral/midline,0.8138583912166704,128,177,134,3035904,2287.783994166703,771.6987630384741,838.0,5523.9199999999255
BraTS2021_00022,1,right,0.9994422261374603,136,166,132,2980032,2397.8755015066954,710.6540837832048,969.0,4855.0
BraTS2021_00024,4,left,0.0,141,181,140,3572940,2729.2304674889783,878.5860800263033,1049.0,6163.0
BraTS2021_00025,3,left,0.0,143,175,138,3453450,2821.0942168544143,827.8682166175295,1097.0,5699.0
BraTS2021_00026,2,left,0.0,149,177,142,3744966,2655.7596821784064,954.120130653724,814.0,5926.0
BraTS2021_00028,2,left,0.0,136,173,135,3176280,2117.3157061616507,890.3139742833474,600.0,5932.0
BraTS2021_00030,11,right,0.9674565239499644,152,168,140,3575040,2389.9858009254226,880.4335732499387,696.0,5759.409999999916
BraTS2021_00031,2,right,0.996610264981502,134,179,146,3501956,2658.5115419438157,1020.6725664766292,724.0,6844.040000000037
BraTS2021_00032,2,left,0.0,137,183,140,3509940,2155.9972963179243,632.1987528939524,791.0,4072.0
BraTS2021_00033,1,left,0.0,135,182,135,3316950,2668.414014715744,802.203678815506,946.0,5395.0
BraTS2021_00035,3,left,0.0,135,170,129,2960550,1838.8392727490877,568.149167969146,604.0,3742.0
BraTS2021_00036,1,left,0.0043756568262157255,142,201,134,3824628,2744.3833361921575,1053.4095897967534,799.0,7010.0
BraTS2021_00043,1,left,0.0,135,180,132,3207600,1299.1988289461501,475.1572815127508,183.0,2945.0
BraTS2021_00044,1,left,0.0,131,171,141,3158541,2759.0037283910174,957.3059401531679,914.0,6052.0
BraTS2021_00045,1,left,0.0,143,185,145,3835975,2771.890241234612,878.4958862566937,955.0,5942.0
BraTS2021_00046,1,right,1.0,135,168,127,2880360,3407.4571844797915,1209.0543159928175,1172.0,8964.0
