case_id,t1,t1ce,t2,flair,seg
BraTS2021_00000,True,True,True,True,True
BraTS2021_00002,True,True,True,True,True
BraTS2021_00003,True,True,True,True,True
BraTS2021_00005,True,True,True,True,True
BraTS2021_00006,True,True,True,True,True
BraTS2021_00008,True,True,True,True,True
BraTS2021_00009,True,True,True,True,True
BraTS2021_00011,True,True,True,True,True
BraTS2021_00012,True,True,True,True,True
BraTS2021_00014,True,True,True,True,True
BraTS2021_00016,True,True,True,True,True
BraTS2021_00017,True,True,True,True,True
BraTS2021_00018,True,True,True,True,True
BraTS2021_00019,True,True,True,True,True
BraTS2021_00020,True,True,True,True,True
BraTS2021_00021,True,True,True,True,True
BraTS2021_00022,True,True,True,True,True
BraTS2021_00024,True,True,True,True,True
BraTS2021_00025,True,True,True,True,True
BraTS2021_00026,True,True,True,True,True
BraTS2021_00028,True,True,True,True,True
BraTS2021_00030,True,True,True,True,True
BraTS2021_00031,True,True,True,True,True
BraTS2021_00032,True,True,True,True,True
BraTS2021_00033,True,True,True,True,True
BraTS2021_00035,True,True,True,True,True
BraTS2021_00036,True,True,True,True,True
BraTS2021_00043,True,True,True,True,True
BraTS2021_00044,True,True,True,True,True
BraTS2021_00045,True,True,True,True,True
BraTS2021_00046,True,True,True,True,True
BraTS2021_00048,True,True,True,True,True
BraTS2021_00049,True,True,True,True,True
BraTS2021_00051,True,True,True,True,True
BraTS2021_00052,True,True,True,True,True
BraTS2021_00053,True,True,True,True,True
BraTS2021_00054,True,True,True,True,True
BraTS2021_00056,True,True,True,True,True
BraTS2021_00058,True,True,True,True,True
BraTS2021_00059,True,True,True,True,True
BraTS2021_00060,True,True,True,True,True
BraTS2021_00061,True,True,True,True,True
BraTS2021_00062,True,True,True,True,True
BraTS2021_00063,True,True,True,True,True
BraTS2021_00064,True,True,True,True,True
BraTS2021_00066,True,True,True,True,True
BraTS2021_00068,True,True,True,True,True
BraTS2021_00070,True,True,True,True,True
BraTS2021_00071,True,True,True,True,True
BraTS2021_00072,True,True,True,True,True
BraTS2021_00074,True,True,True,True,True
BraTS2021_00077,True,True,True,True,True
BraTS2021_00078,True,True,True,True,True
BraTS2021_00081,True,True,True,True,True
BraTS2021_00084,True,True,True,True,True
BraTS2021_00085,True,True,True,True,True
BraTS2021_00087,True,True,True,True,True
BraTS2021_00088,True,True,True,True,True
BraTS2021_00089,True,True,True,True,True
BraTS2021_00090,True,True,True,True,True
BraTS2021_00094,True,True,True,True,True
BraTS2021_00095,True,True,True,True,True
BraTS2021_00096,True,True,True,True,True
BraTS2021_00097,True,True,True,True,True
BraTS2021_00098,True,True,True,True,True
BraTS2021_00099,True,True,True,True,True
BraTS2021_00100,True,True,True,True,True
BraTS2021_00101,True,True,True,True,True
BraTS2021_00102,True,True,True,True,True
BraTS2021_00103,True,True,True,True,True
BraTS2021_00104,True,True,True,True,True
BraTS2021_00105,True,True,True,True,True
BraTS2021_00106,True,True,True,True,True
BraTS2021_00107,True,True,True,True,True
BraTS2021_00108,True,True,True,True,True
BraTS2021_00109,True,True,True,True,True
BraTS2021_00110,True,True,True,True,True
BraTS2021_00111,True,True,True,True,True
BraTS2021_00112,True,True,True,True,True
BraTS2021_00113,True,True,True,True,True
BraTS2021_00115,True,True,True,True,True
BraTS2021_00116,True,True,True,True,True
BraTS2021_00117,True,True,True,True,True
BraTS2021_00118,True,True,True,True,True
BraTS2021_00120,True,True,True,True,True
BraTS2021_00121,True,True,True,True,True
BraTS2021_00122,True,True,True,True,True
BraTS2021_00123,True,True,True,True,True
BraTS2021_00124,True,True,True,True,True
BraTS2021_00126,True,True,True,True,True
BraTS2021_00127,True,True,True,True,True
BraTS2021_00128,True,True,True,True,True
BraTS2021_00130,True,True,True,True,True
BraTS2021_00131,True,True,True,True,True
BraTS2021_00132,True,True,True,True,True
BraTS2021_00133,True,True,True,True,True
BraTS2021_00134,True,True,True,True,True
BraTS2021_00136,True,True,True,True,True
BraTS2021_00137,True,True,True,True,True
BraTS2021_00138,True,True,True,True,True
BraTS2021_00139,True,True,True,True,True
BraTS2021_00140,True,True,True,True,True
BraTS2021_00142,True,True,True,True,True
BraTS2021_00143,True,True,True,True,True
BraTS2021_00144,True,True,True,True,True
BraTS2021_00146,True,True,True,True,True
BraTS2021_00147,True,True,True,True,True
BraTS2021_00148,True,True,True,True,True
BraTS2021_00149,True,True,True,True,True
BraTS2021_00150,True,True,True,True,True
BraTS2021_00151,True,True,True,True,True
BraTS2021_00152,True,True,True,True,True
BraTS2021_00154,True,True,True,True,True
BraTS2021_00155,True,True,True,True,True
BraTS2021_00156,True,True,True,True,True
BraTS2021_00157,True,True,True,True,True
BraTS2021_00158,True,True,True,True,True
BraTS2021_00159,True,True,True,True,True
BraTS2021_00160,True,True,True,True,True
BraTS2021_00162,True,True,True,True,True
BraTS2021_00165,True,True,True,True,True
BraTS2021_00166,True,True,True,True,True
BraTS2021_00167,True,True,True,True,True
BraTS2021_00170,True,True,True,True,True
BraTS2021_00171,True,True,True,True,True
BraTS2021_00172,True,True,True,True,True
BraTS2021_00176,True,True,True,True,True
BraTS2021_00177,True,True,True,True,True
BraTS2021_00178,True,True,True,True,True
BraTS2021_00183,True,True,True,True,True
BraTS2021_00184,True,True,True,True,True
BraTS2021_00185,True,True,True,True,True
BraTS2021_00186,True,True,True,True,True
BraTS2021_00187,True,True,True,True,True
BraTS2021_00188,True,True,True,True,True
BraTS2021_00191,True,True,True,True,True
BraTS2021_00192,True,True,True,True,True
BraTS2021_00193,True,True,True,True,True
BraTS2021_00194,True,True,True,True,True
BraTS2021_00195,True,True,True,True,True
BraTS2021_00196,True,True,True,True,True
BraTS2021_00199,True,True,True,True,True
BraTS2021_00201,True,True,True,True,True
BraTS2021_00203,True,True,True,True,True
BraTS2021_00204,True,True,True,True,True
BraTS2021_00206,True,True,True,True,True
BraTS2021_00207,True,True,True,True,True
BraTS2021_00209,True,True,True,True,True
BraTS2021_00210,True,True,True,True,True
BraTS2021_00211,True,True,True,True,True
BraTS2021_00212,True,True,True,True,True
BraTS2021_00214,True,True,True,True,True
BraTS2021_00216,True,True,True,True,True
BraTS2021_00217,True,True,True,True,True
BraTS2021_00218,True,True,True,True,True
BraTS2021_00219,True,True,True,True,True
BraTS2021_00220,True,True,True,True,True
BraTS2021_00221,True,True,True,True,True
BraTS2021_00222,True,True,True,True,True
BraTS2021_00227,True,True,True,True,True
BraTS2021_00228,True,True,True,True,True
BraTS2021_00230,True,True,True,True,True
BraTS2021_00231,True,True,True,True,True
BraTS2021_00233,True,True,True,True,True
BraTS2021_00234,True,True,True,True,True
BraTS2021_00235,True,True,True,True,True
BraTS2021_00236,True,True,True,True,True
BraTS2021_00237,True,True,True,True,True
BraTS2021_00238,True,True,True,True,True
BraTS2021_00239,True,True,True,True,True
BraTS2021_00240,True,True,True,True,True
BraTS2021_00241,True,True,True,True,True
BraTS2021_00242,True,True,True,True,True
BraTS2021_00243,True,True,True,True,True
BraTS2021_00246,True,True,True,True,True
BraTS2021_00247,True,True,True,True,True
BraTS2021_00249,True,True,True,True,True
BraTS2021_00250,True,True,True,True,True
BraTS2021_00251,True,True,True,True,True
BraTS2021_00253,True,True,True,True,True
BraTS2021_00254,True,True,True,True,True
BraTS2021_00258,True,True,True,True,True
BraTS2021_00259,True,True,True,True,True
BraTS2021_00260,True,True,True,True,True
BraTS2021_00261,True,True,True,True,True
BraTS2021_00262,True,True,True,True,True
BraTS2021_00263,True,True,True,True,True
BraTS2021_00266,True,True,True,True,True
BraTS2021_00267,True,True,True,True,True
BraTS2021_00269,True,True,True,True,True
BraTS2021_00270,True,True,True,True,True
BraTS2021_00271,True,True,True,True,True
BraTS2021_00273,True,True,True,True,True
BraTS2021_00274,True,True,True,True,True
BraTS2021_00275,True,True,True,True,True
BraTS2021_00280,True,True,True,True,True
BraTS2021_00281,True,True,True,True,True
BraTS2021_00282,True,True,True,True,True
BraTS2021_00283,True,True,True,True,True
BraTS2021_00284,True,True,True,True,True
BraTS2021_00285,True,True,True,True,True
BraTS2021_00286,True,True,True,True,True
BraTS2021_00288,True,True,True,True,True
BraTS2021_00289,True,True,True,True,True
BraTS2021_00290,True,True,True,True,True
BraTS2021_00291,True,True,True,True,True
BraTS2021_00292,True,True,True,True,True
BraTS2021_00293,True,True,True,True,True
BraTS2021_00294,True,True,True,True,True
BraTS2021_00296,True,True,True,True,True
BraTS2021_00297,True,True,True,True,True
BraTS2021_00298,True,True,True,True,True
BraTS2021_00299,True,True,True,True,True
BraTS2021_00300,True,True,True,True,True
BraTS2021_00301,True,True,True,True,True
BraTS2021_00303,True,True,True,True,True
BraTS2021_00304,True,True,True,True,True
BraTS2021_00305,True,True,True,True,True
BraTS2021_00306,True,True,True,True,True
BraTS2021_00309,True,True,True,True,True
BraTS2021_00310,True,True,True,True,True
BraTS2021_00311,True,True,True,True,True
BraTS2021_00312,True,True,True,True,True
BraTS2021_00313,True,True,True,True,True
BraTS2021_00314,True,True,True,True,True
BraTS2021_00316,True,True,True,True,True
BraTS2021_00317,True,True,True,True,True
BraTS2021_00318,True,True,True,True,True
BraTS2021_00320,True,True,True,True,True
BraTS2021_00321,True,True,True,True,True
BraTS2021_00322,True,True,True,True,True
BraTS2021_00324,True,True,True,True,True
BraTS2021_00325,True,True,True,True,True
BraTS2021_00327,True,True,True,True,True
BraTS2021_00328,True,True,True,True,True
BraTS2021_00329,True,True,True,True,True
BraTS2021_00331,True,True,True,True,True
BraTS2021_00332,True,True,True,True,True
BraTS2021_00334,True,True,True,True,True
BraTS2021_00336,True,True,True,True,True
BraTS2021_00338,True,True,True,True,True
BraTS2021_00339,True,True,True,True,True
BraTS2021_00340,True,True,True,True,True
BraTS2021_00341,True,True,True,True,True
BraTS2021_00343,True,True,True,True,True
BraTS2021_00344,True,True,True,True,True
BraTS2021_00346,True,True,True,True,True
BraTS2021_00347,True,True,True,True,True
BraTS2021_00348,True,True,True,True,True
BraTS2021_00349,True,True,True,True,True
BraTS2021_00350,True,True,True,True,True
BraTS2021_00351,True,True,True,True,True
BraTS2021_00352,True,True,True,True,True
BraTS2021_00353,True,True,True,True,True
BraTS2021_00356,True,True,True,True,True
BraTS2021_00359,True,True,True,True,True
BraTS2021_00360,True,True,True,True,True
BraTS2021_00364,True,True,True,True,True
BraTS2021_00366,True,True,True,True,True
BraTS2021_00367,True,True,True,True,True
BraTS2021_00369,True,True,True,True,True
BraTS2021_00370,True,True,True,True,True
BraTS2021_00371,True,True,True,True,True
BraTS2021_00373,True,True,True,True,True
BraTS2021_00375,True,True,True,True,True
BraTS2021_00376,True,True,True,True,True
BraTS2021_00377,True,True,True,True,True
BraTS2021_00378,True,True,True,True,True
BraTS2021_00379,True,True,True,True,True
BraTS2021_00380,True,True,True,True,True
BraTS2021_00382,True,True,True,True,True
BraTS2021_00383,True,True,True,True,True
BraTS2021_00386,True,True,True,True,True
BraTS2021_00387,True,True,True,True,True
